Semana,Interesse
2018-01-07,3
2018-01-14,3
2018-01-21,5
2018-01-28,3
2018-02-04,4
2018-02-11,3
2018-02-18,4
2018-02-25,4
2018-03-04,4
2018-03-11,3
2018-03-18,4
2018-03-25,3
2018-04-01,4
2018-04-08,4
2018-04-15,4
2018-04-22,4
2018-04-29,3
2018-05-06,4
2018-05-13,4
2018-05-20,5
2018-05-27,5
2018-06-03,6
2018-06-10,5
2018-06-17,5
2018-06-24,4
2018-07-01,4
2018-07-08,4
2018-07-15,4
2018-07-22,5
2018-07-29,4
2018-08-05,4
2018-08-12,4
2018-08-19,4
2018-08-26,5
2018-09-02,5
2018-09-09,4
2018-09-16,5
2018-09-23,5
2018-09-30,7
2018-10-07,8
2018-10-14,6
2018-10-21,6
2018-10-28,13
2018-11-04,8
2018-11-11,6
2018-11-18,5
2018-11-25,6
2018-12-02,6
2018-12-09,6
2018-12-16,6
2018-12-23,4
2018-12-30,8
2019-01-06,10
2019-01-13,11
2019-01-20,9
2019-01-27,10
2019-02-03,9
2019-02-10,9
2019-02-17,9
2019-02-24,8
2019-03-03,5
2019-03-10,9
2019-03-17,15
2019-03-24,14
2019-03-31,11
2019-04-07,10
2019-04-14,9
2019-04-21,11
2019-04-28,7
2019-05-05,9
2019-05-12,10
2019-05-19,11
2019-05-26,12
2019-06-02,11
2019-06-09,12
2019-06-16,11
2019-06-23,12
2019-06-30,13
2019-07-07,17
2019-07-14,12
2019-07-21,11
2019-07-28,11
2019-08-04,14
2019-08-11,15
2019-08-18,14
2019-08-25,16
2019-09-01,14
2019-09-08,12
2019-09-15,12
2019-09-22,12
2019-09-29,12
2019-10-06,12
2019-10-13,12
2019-10-20,14
2019-10-27,14
2019-11-03,17
2019-11-10,13
2019-11-17,12
2019-11-24,13
2019-12-01,14
2019-12-08,15
2019-12-15,17
2019-12-22,13
2019-12-29,15
2020-01-05,18
2020-01-12,17
2020-01-19,18
2020-01-26,24
2020-02-02,21
2020-02-09,22
2020-02-16,19
2020-02-23,28
2020-03-01,33
2020-03-08,100
2020-03-15,93
2020-03-22,68
2020-03-29,47
2020-04-05,37
2020-04-12,40
2020-04-19,40
2020-04-26,32
2020-05-03,34
2020-05-10,33
2020-05-17,34
2020-05-24,41
2020-05-31,43
2020-06-07,42
2020-06-14,40
2020-06-21,33
2020-06-28,29
2020-07-05,36
2020-07-12,31
2020-07-19,32
2020-07-26,29
2020-08-02,27
2020-08-09,25
2020-08-16,27
2020-08-23,25
2020-08-30,26
2020-09-06,22
2020-09-13,24
2020-09-20,26
2020-09-27,28
2020-10-04,25
2020-10-11,21
2020-10-18,25
2020-10-25,30
2020-11-01,26
2020-11-08,31
2020-11-15,25
2020-11-22,26
2020-11-29,26
2020-12-06,28
2020-12-13,27
2020-12-20,24
2020-12-27,23
2021-01-03,30
2021-01-10,27
2021-01-17,27
2021-01-24,26
2021-01-31,27
2021-02-07,24
2021-02-14,18
2021-02-21,31
2021-02-28,30
2021-03-07,35
2021-03-14,25
2021-03-21,25
2021-03-28,22
2021-04-04,23
2021-04-11,22
2021-04-18,19
2021-04-25,21
2021-05-02,21
2021-05-09,21
2021-05-16,20
2021-05-23,21
2021-05-30,23
2021-06-06,23
2021-06-13,22
2021-06-20,22
2021-06-27,21
2021-07-04,20
2021-07-11,21
2021-07-18,21
2021-07-25,20
2021-08-01,21
2021-08-08,20
2021-08-15,25
2021-08-22,23
2021-08-29,22
2021-09-05,26
2021-09-12,25
2021-09-19,28
2021-09-26,24
2021-10-03,24
2021-10-10,18
2021-10-17,29
2021-10-24,26
2021-10-31,21
2021-11-07,23
2021-11-14,20
2021-11-21,23
2021-11-28,26
2021-12-05,25
2021-12-12,26
2021-12-19,23
2021-12-26,19
2022-01-02,23
2022-01-09,23
2022-01-16,23
2022-01-23,24
2022-01-30,23
2022-02-06,21
2022-02-13,21
2022-02-20,29
